STORE CODE,ZONE,STATE,CITY,FORMAT  Type,FORMATE,STORE NAME,SAP Name of Store,NOC Store name
TO64,South,Karnataka,Bangalore,Trends,Fitch,Forum Neighborhood Mall,Trends Forum Nhd Mall,Bangalore Forum Mall
TO68,South,Karnataka,Bangalore,Trends,Fitch,Forum Shantiniketan Mall,Trends Forum SHANTINIKETAN,Bnglr Shantinikertan
TP11,South,Karnataka,Chitradurga,Trends,Fitch,"Gumasthara Colony, Chitradurga",RRL Trends Chitradurga,Chitradurga P B Rd
TQD2,South,Karnataka,Gulbarga,Trends,Fitch,"Sedam Road,Near Karge Petrol Bunk",RRL Trends Gulbarga,Gulbarga Near Karge Petrol Bunk Sedam Road
TWPW,South,Karnataka,Bhadravati,Trends,Fitch,Trends Bhadravati,RRL Trends Bhadravathi,Bhadravati Trends Bhadravati
TY5C,South,Karnataka,Bangalore,Trends,Fitch,Paul Plaza - Hennur Road,RRL Trends Hennur,Bangalore Paul Plaza Hennur Road
8048,South,Karnataka,Bangalore,Trends,Fitch,Royal Meenakshi,RRL Trends Royal Meenakshi Mal,Bangalore RMM
8043,South,Karnataka,Bangalore,Trends,Regular,Banashankari,RRL Trends Banashankari Bangal,Bangalore Banshankri
8055,South,Karnataka,Bangalore,Trends,Regular,Malleswaram,RRL Trends Malleswaram Bangalo,Bangalore Malleswram
1975,South,Karnataka,Bangalore,Trends,Regular,"Gandhibazar , Bangalore",RRL Trends Gandhi Bazar Bangal,Bangalore Gandhi Bzr
9641,South,Karnataka,Bangalore,Trends,Fitch,HSR Layout,RRL Trends HSR Layout Banglore,Bangalore HSR Layout
9543,South,Karnataka,Bangalore,Trends,Fitch,"Siddaganga Trust , Kanakapura Road",Bangalore Kankpur Rd,Bangalore Kankpur Rd
TA75,South,Karnataka,Bangalore,Trends,Fitch,Uttarahalli main road,Bangalore Uttarahali,Bangalore Uttarahali
TNQ9,South,Karnataka,Bangalore,Trends,Fitch,Vignannagar,RRL Trends Bangalore Vignanaga,Bangalore Vignannagr
TSK1,South,Karnataka,Bangalore,Trends,Fitch,Lulu Global Mall,RRL Trends Bangalore Lulu Mall,Bangalore Lulu Global Mall
TSL4,South,Karnataka,Bangalore,Trends,Fitch,Haralur Road,RRL Trends Haralur,Bangalore Haralur Road
TSO5,South,Karnataka,Bangalore,Trends,Fitch,KR Puram,RRL Trends Bangalore KR Puram,Bangalore KR Puram
T51Y,South,Karnataka,Bangalore,Trends,Fitch,Trends TC Palya Main Road KR Puram,RRL Trends Bangalore Anandapur,Bangalore TC Palya Main Rd
9669,South,Karnataka,Bangalore,Trends,Fitch,"Ajmera Annex, Neeladri Road",RRL Trends Electronic city Ban,Bangalore Elctrn Cty
TX1B,South,Karnataka,Bangalore,Trends,Fitch,Trends Sarjapur Main Road-Carmelaram Post,RRL TRENDS Sarjapur Road Banga,Bangalore Sarjapur Main Road Carmelaram Post
TX3M,South,Karnataka,Bangalore,Trends,Fitch,"Trends Badami House, JP Nagar",RRL Trends J.P.Nagar,Bangalore Badami House Jp Nagar
TX80,South,Karnataka,Bangalore,Trends,Fitch,"HSR Layout, 27th Main Road",RRL Trends Bangalore HSR Layou,Bangalor HSR Sector1
FR1W,South,Karnataka,Bangalore,Trends,Fitch,FBB-BENGALURU-KORAMANGALA-ZED,Trends BENGALURU KORAMANGALA Z,Bangalore FBB Bengaluru Koramangala
TEV8,South,Karnataka,Mysore,Trends,Fitch,Saraswathipuram,RRL Trends Mysore,Mysore Double Road
5919,South,Karnataka,Bangalore,Trends,Regular,"Basaveshwarnagar, Bangalore",RRL Trends Basaveshwara Bangal,Bangalore Basveshwra
5966,South,Karnataka,Hassan,Trends,Fitch,"BM Road, Shankarapuram",RRL Trends Hassan,Hassan R Arcade
T729,South,Karnataka,Mysore,Trends,Fitch,Forum Mall,RRL Tends Nazarbad Mysore,Mysore Nazarabad
T800,South,Karnataka,Bangalore,Trends,Fitch,R T Nagar,RRL Trends Ganga Nagar Bangalo,Bangalore R T Nagar
TK84,South,Karnataka,Bangalore,Trends,Fitch,"CMH Road, Indiranagar",RRL Trends - Indiranagar,Bangalore CMH Road
TLR9,South,Karnataka,Mandya,Trends,Fitch,"100 Ft Road - B M Rd, Mandya",RRL Trends Mandya,Mandya 100Ft Road
TWQC,South,Karnataka,Mysore,Trends,Fitch,"Vijayanagar, KH General Thimmaiah Road",RRL Trends Vijaynagar,Mysore Vijayanagar KH General Thimmaiah Road
5906,South,Karnataka,Bangalore,Trends,Regular,"Bangalore, Nagarbhavi",RRL Trends Nagarbhavi Bangalor,Bangalore Nagarbhavi
8046,South,Karnataka,Bangalore,Trends,Regular,RAKSHITAS/Maruti Retail,RRL Trends Rakshitas Bangalore,Bangalore Jayanagar
T595,South,Karnataka,Bangalore,Trends,Fitch,"Rajarajeshwarinagar,",RRL Trends Bangalore,Bangalore RR Nagar
8372,South,Karnataka,Mysore,Trends,Fitch,KSRTC Bus Terminal,RRL Trends Zolo KSRTC Mysore,Mysore TIMS KRSTC
8062,South,Karnataka,Mysore,Trends,Regular,SDM Mall,RRL Trends SDM Mysore Store,Mysore SDM
TSQ0,South,Karnataka,Madikeri,Trends,Fitch,Trends Coorg Centre Madikeri,RRL Trends Madikeri,Madikeri Coorg Centre Karnangeri Vlg
TST2,South,Karnataka,Bangalore,Trends,Fitch,Trends Sahakar Nagar,RRL Trends Sahakarnagar,Bangalore Sahakar Nagar
8045,South,Karnataka,Bangalore,Trends,Fitch,Mantri,RRL Trends Mantri Mall Bangalo,Bangalore Mantri Mal
TSM2,South,Karnataka,Mangalore,Trends,Fitch,"Karuna Pride, Falnir",RRL Trends Mangalore Falnir,Mangalore Karuna Pride Falnir
TAL1,South,Karnataka,Chikmagalur,Trends,Fitch,Trends Chikmagalur,RRL TRENDS Lotus Mall Chickmag,Chikmagalur Lotus Mall
R215,South,Karnataka,Udupi,Trends,Fitch,City Centre Mall,RRL City Center Mall Udupi,Udupi City Centre
T806,South,Karnataka,Hubli,Trends,Fitch,Urban Oasis Mall,RRL Trends Oasis Mall Hubli,Hubli TIMS UrbnOasis
TCV3,South,Karnataka,Yadagir,Trends,Fitch,Chitapur Road,RRL TRENDS YADAGIR,Yadagir Chittapur Rd
TDE2,South,Karnataka,Ranibennur,Trends,Fitch,Old PB Road,RRL Trends Ranibennur,Ranibennur Old PB Road
TL16,South,Karnataka,Puttur,Trends,Fitch,"Bolwar, Madikkeri Road",RRL Trends Puttur,Puttur Madikkeri Rd
TP10,South,Karnataka,Belgaum,Trends,Fitch,"DRK Mall,Tilakwadi, Belgaum",RRL Trends Belgaum Tilakwadi,Belgaum Tilakwadi
8061,South,Karnataka,Mangalore,Trends,Fitch,"City Centre Mall, Mng",RRL Trends City Centre Mall Ma,Mangalore CityCentre
TWPR,South,Karnataka,Bagalkot,Trends,Fitch,"Kalidas Circle, Navanagar",RRL Trends,Bagalkot Kalidasa Circle
T9QP,South,Karnataka,Bengaluru,Trends,Fitch,Trends PMC Mall of Asia Bengaluru,RRL Trends Bangalore Mall of A,Bangalore Mall Of Asia
8057,South,Karnataka,Belgaum,Trends,Regular,Nucleus Mall,RRL Trends Nucleus Mall Belgau,Belgaum Nucleus Mall
8059,South,Karnataka,Hubli,Trends,Regular,U Mall,RRL Trends U Mall Hubli Store,Hubli U Mall
8058,South,Karnataka,Gulbarga,Trends,Regular,Asian Mall,RRL Trends Asian Mall Gulbarga,Gulbarga Asian Mall
TWQO,South,Karnataka,Manipal-Udupi,Trends,Fitch,Trends Udupi,RRL Trends Udupi,Manipal Udupi Trends
R217,South,Karnataka,Bangalore,Trends,Fitch,"Prestige Ambarams, Commercial Street",RRL Trends Prestige INR Bangal,Bangalore ComercilSt
TSR9,South,Karnataka,Bangalore,Trends,Fitch,Trends Hesaraghatta,RRL Trends Hessargatta Bangalo,Bangalore Hesaraghatta
TXXP,South,Karnataka,Bellary,Trends,Fitch,Near Unlimited,RRL Trends Bellary,Bellary Near Unlimited
8053,South,Karnataka,Bangalore,Trends,Fitch,Kamanahalli,RRL Trends BSR Complex Bangalo,Bangalore Kamanahali
1981,South,Kerala,Alleppey,Trends,Fitch,"RIL Mall, Kalarcode Junction",RRL Trends Kalarcode Junction,Alleppey RIL Mall
5686,South,Kerala,Sulthan Bathery,Trends,Regular,Mint Mall,Wayanad Mint Mall,Wayanad Mint Mall
5692,South,Kerala,Calicut,Trends,Fitch,HiLite Mall,RRL Trends Hillite Mall Kozhik,Kozhikode Hilite Mal
5693,South,Kerala,Kanhangad,Trends,Fitch,Malabar Gold Building,RRL Trends Kanjhangad,Kanhangad Chandragir
5694,South,Kerala,Adoor,Trends,Fitch,"Mozhiyathu Plaza, Central Juntion,",RRL Trends Adoor Kerala,Trivandrm Mozhiyathu
5731,South,Kerala,Thodupuzha,Trends,Regular,"Dreams Mall , Thodupuzha",RRL TRENDS Dream Mall Thodupu,Pala Dream Mall
5757,South,Kerala,Muvathapuzha,Trends,Regular,Grand Central Mall,RRL Trends Muvathupuzha Kochi,Kochi Grand Centre
6147,South,Kerala,Thrissur,Trends,Regular,Sobha Mall -Flagship Store,Thrissur Shoba City,Thrissur Shoba City
8070,South,Kerala,Payanoor,Trends,Regular,Payanoor,RRL Trends Payyannur Mall Payy,Payyannur P Mall
8305,South,Kerala,Pala,Trends,Regular,"Puthetu Arcade, Pala",RRL Trends Puthetu Arcade Pala,Pala Puthetu Arcade
9430,South,Kerala,Cochin,Trends,Fitch,Grand Mall,RRL Trends Grand Mall Edapally,Kochi Grand Mall
9535,South,Kerala,Malappuram,Trends,Fitch,"Parkway, Calicut Road",RRL Trends Mallapuram,Malapuram Down Hill
9554,South,Kerala,Cochin,Trends,Fitch,Aluva,RRL Trends Pulinchodu Junction,Kochi Pulinchodu Jn
9555,South,Kerala,Kodungallur,Trends,Fitch,Malabar Gold & Diamond Building,RRL Trends Kodungallur North,Kodngalur MalabarTWR
9574,South,Kerala,Cochin,Trends,Fitch,"Near Radison Blue, Kadavanthra",RRL Trends Arakkaparambil Towe,Kochi Kadavanthra
T509,South,Kerala,Irinjalakuda,Trends,Fitch,Akara Arcade,RRL Trends Irinjalkuda,Thrissur Akkara
T826,South,Kerala,Pathanamthitta,Trends,Fitch,"Main Market, Pathanamthitta",RRL Trends Pathanamthitta,Pathanamt Kunithotat
T928,South,Kerala,Edapal,Trends,Fitch,"United Mall, Edapal",RRL Trends United Mall Edappal,Edappally United Mal
TCQ8,South,Kerala,Thiruvalla,Trends,Fitch,Edimannickal Tower,RRL TRENDS THIRUVALLA,Thiruvalla Edmanikal
TCR4,South,Kerala,Kasargod,Trends,Fitch,"Kudroli Square, MG Road",RRL Trends KASARGOD,Kasargod MG Road
TDN5,South,Kerala,Vadakara,Trends,Fitch,Nesto Center,RRL Trends Kozhikode Nesto Cen,Vadakara Nesto Center
TL34,South,Kerala,Palakkad,Trends,Fitch,English Church Road,RRL Trends Palakkad,Plkkad Metro Square
TX4C,South,Kerala,Kannur,Trends,Fitch,RRL Trends Kannur Kavitha Thea,RRL Trends Kannur Kavitha Thea,Kannur Near Kannur Mall
TQ79,South,Kerala,Perumbavoor,Trends,Fitch,TMS Mall,RRL Trends Perumbavoor,Perumbavoor TMS Mall
TMG1,South,Kerala,Alleppey,Trends,Fitch,"Near YMCA, Allappuzha",Alappuzha Near YMCA,Alappuzha Near YMCA
8065,South,Kerala,Cochin,Trends,Fitch,O Mall,RRL Trends O Mall Kochin Speci,Kochi O Mall
TO17,South,Kerala,Kottayam,Trends,Fitch,Trends Thengumcheril Tower Kodimatha,RRL Trends Kodimatha Thengumch,Kottayam Kodimatha
FR2Y,South,Kerala,Kochi,Trends,Fitch,TV COCHIN-PALARIVATTOM,TV Cochin Palarivattom,Kochi TV FBB Cochin Palarivattom
TZVD,South,Kerala,Kottakkal,Trends,Fitch,"Trends Chenakkal Tower, Main Road, Malappuram",RRL Trends Kottakkal,Kottakkal Chenakkal Tower Main Rd Malappuram
FR2S,South,Kerala,Kollam,Trends,Fitch,TV-Kollam-Mundakkal Village,TV Kollam Mundakkal Villag,Kollam TV FBB Kollam
FR1Q,South,Kerala,Trivandrum,Trends,Fitch,TV-MOT MALL TRIVANDRUM,TV Thiruvananthpuram Trava,Trivandrum TV FBB Mot Mall Trivandrum
TX3O,South,Kerala,Kerala,Trends,Fitch,"Trends Near Brand Factory ,Kadappakkada Kollam",RRL Trends Kollam Manzoor Musa,Kollam Near Brand Factory Kadappakkada Kollam
8068,South,Kerala,Kottayam,Trends,Regular,Vettiyil Endow,RRL Trends Vettiyil Endow Kott,Kottayam Vettiyil
TJX6,South,Kerala,Paravur,Trends,Fitch,"Zams Mall, Muncipal Junction",RRL Trends North Paravur,Paravur Zams Mall
5735,South,Kerala,Trivandrum,Trends,Regular,"Heera Complex , Kowadiar",RRL Trends Kowdiar Trivandrum,Trivandrm Kowdiar
8071,South,Kerala,Thrissur,Trends,Regular,Grand Mall Thrissur,RRL Trends Grand Mall Thrissur,Thrissur Grand Mall
TM30,South,Kerala,Kozhikode,Trends,Fitch,Nadakkavu,RRL Trends Nadakkavu Calicut,Kozhikode Ace Atria
TJE2,South,Kerala,Trivandrum,Trends,Fitch,"Malankara Avenue, Pattom",RRL Trends Pattom,Trivandrum Malankara Avenue Pattom
TSL0,South,Kerala,Kochi,Trends,Fitch,"Trends Marine drive, Ernakulam",RRL Trends Kochi Marine Drive,Kochi Marine Drive Ernakulam
5700,South,Kerala,Cochin,Trends,Fitch,Centre Square Mall,RRL Trends Centre Square Kochi,Kochi Centre Square
9661,South,Kerala,Changanassery,Trends,Fitch,"Dinesh Arcade, Kavala",RRL Trends Changanassery,Changnsry D Square
9510,South,Tamil Nadu,Hosur,Trends,Fitch,"Bagalur Road, Hosur",RRL Trends Hosur,Hosur Bagalur Rd
TI68,South,Tamil Nadu,Hosur,Trends,Fitch,Near Chennai Silks,RRL Trends Mookandapalli Hosur,Hosur Sipcot Housing
T0AI,SOUTH,Kerala,Kunnamkulam,Trends,Fitch,"Nikhil Arcade,Guruvayoor Road",RRL Trends Kunnamkulam Nikhil,Kunnamkulam Nikhil Arcade Guruvayoor Rd
TG3A,SOUTH,Kerala,Perinthalmanna,Trends,Fitch,Perinthalmanna,RRL Trends Perinthalmanna NAZ,Perinthalmanna Naz Al Ameen
8067,South,Kerala,Kollam,Trends,Regular,K Mall,RRL Trends K Mall Kollam Store,Kollam K Mall
9538,South,Kerala,Kotarakkara,Trends,Fitch,Pulmon Junction,RRL Trends Kottarakkara,Kollam Kottarakkara
9663,South,Kerala,Kochi,Trends,Fitch,Kakkanad Infra,RRL Trends Kakkanad Kochi,Kochi Kakkanad Infra
T825,South,Kerala,Attingal,Trends,Fitch,Moonnumukku Junction,Trivandrm Attingal,Trivandrm Attingal
TN08,South,Kerala,Thalassery,Trends,Fitch,Harbour City mall,RRL Trends Thalassery,Talasery Harbour Mal
TO07,South,Kerala,Pattambi,Trends,Fitch,Mathilakam Shopping Mall,RRL Trends Pattambi,Pattambi Matilakam
TX1M,South,Kerala,Chalappuram,Trends,Fitch,Trends Hindustan Prakashan Trust,Chalappuram Hindustan Prakashan Trust,Chalappuram Hindustan Prakashan Trust
T86A,South,Kerala,Kannur,Trends,Fitch,Trends Secura Mall Kannur,RRL Trends Kannur SECURA CENTR,Kannur Secura Mall
TJP4,South,Kerala,Trivandrum,Trends,Fitch,"Rashid Arcade, Sreekaryam",RRL Trends Sreekaryam,Trivandrum Rashid Arcade Sreekaryam
TWQT,South,Kerala,Trivandrum,Trends,Fitch,MG Road,RRL Trends MG Road Trivandrum,Trivandrum MG Road
T44T,North,Uttar Pradesh,Meerut,Trends,Fitch,Trends Ashok Vatika Meerut,RRL Trends Meerut Ashok Vatika,Meerut Ashok Vatika
TC75,North,Uttar Pradesh,Baghpat,Trends,Fitch,Meerut Road,RRL Trends Baghpat UP,Baghpat Merrut Rd
8128,North,Uttar Pradesh,Meerut,Trends,Regular,Shopprix Mall,RRL Trends Shopprix Mall Meeru,Meerut Shopprix Mall
8343,North,Uttarakhand,Rudrapur,Trends,Regular,Metropolis Rudrapur,RRL Trends Rudrapur,Rudrapur Metropolis
9529,North,Uttar Pradesh,Bareilly,Trends,Regular,Civil Lines,RRL Trends Civil Lines Bareill,Bareilly Civil Lines
9530,North,Uttarakhand,Kashipur,Trends,Fitch,Ramnagar Road,RRL Trends Kashipur,Kashipur Ramnagar
9680,North,Uttar Pradesh,Jaunpur,Trends,Regular,"NH-56, Wazidpur Crossing",RRL Trends Jaunpur UP,Jaunpur Prabha Cmplx
TK51,North,Uttarakhand,Dehradun,Trends,Fitch,"Saharanpur Road, Near ISBT",RRL Trends Dehradun,Dehradun Saharanpur NearISBT
T559,North,Uttarakhand,Almora,Trends,Fitch,Raghunath City Mall,RRL Trends Almora Uttarkhand,Almora Akashwani
T808,North,Uttar Pradesh,Gorakhpur,Trends,Fitch,"Orchid Green, Mohaddipur",RRL Trends Gorakhpur UP,Gorakhpur Mohaddipur
T929,North,Uttar Pradesh,Mathura,Trends,Fitch,Krishna Nagar,RRL Tends Mathura,Mathura Krishnanagar
TK53,North,Uttar Pradesh,Muzaffarnagar,Trends,Fitch,Nai Mandi,RRL Trends Muzaffarnagar,Muzafarngr VakilRoad
TEG2,North,Uttar Pradesh,Kanpur,Trends,Fitch,"Lal Bangla, Defence Colony",RRL Trends Kanpur Lalbangla,Kanpur Lal Bangla Defence Colony
TEW6,North,Uttar Pradesh,Sitapur,Trends,Fitch,Station Road,RRL Trends Sitapur,Sitapur Station Road
TFE5,North,Uttar Pradesh,Lalitpur,Trends,Fitch,"Chowk market, Near Elite cinema",RRL Trends Lalitpur,Lalitpur Chowk market Near elite cinema
TFI8,North,Uttar Pradesh,Hardoi,Trends,Fitch,"Lucknow Road, Hardoi",RRL TRENDS HARDOI,Hardoi Lucknow Road
TFY9,North,Uttar Pradesh,Bareilly,Trends,Fitch,"DD Puram, Prabhat Nagar",RRL Trends Bareilly DD Puram,Bareilly DD Puram Prabhat Nagar
TG66,North,Uttar Pradesh,Rampur,Trends,Fitch,Shaukat Ali Road,RRL Trends Rampur UP,Rampur Mandiyan Bagh
TGC8,North,Uttar Pradesh,Bulandshahr,Trends,Fitch,"Chowk Bazar, Railway Road",RRL Trends Bulandsahar,Bulandshahr Chowk Bazar Railway Road
TGZ6,North,Uttarakhand,Roorkee,Trends,Fitch,"Ramnagar Chowk, Dehradun Road",RRL Trends Roorkee,Roorkee Ramnagar Chowk
TH26,North,Uttar Pradesh,Varanasi,Trends,Fitch,PDR Mall,RRL Trends PDR Mall Varanasi,Varanasi PDR Mall
TH50,North,Uttar Pradesh,Mau,Trends,Fitch,"Shahadat Pura, Ghazipur Tiraha, Mau",RRL Trends Sahadatpura Mau UP,Mau Shahadatpura
TH80,North,Uttar Pradesh,Aligarh,Trends,Fitch,"Center Point, Aligarh",RRL Trends Aligarh,Aligarh Marris Rd
TGD6,North,Uttarakhand,Uttarkashi,Trends,Fitch,"Gyansu, Gangotri Road",RRL Trends Uttarakashi,Uttarkashi Gyansu Gangotri Road
TK56,North,Uttar Pradesh,Lucknow,Trends,Fitch,Ring Road -Near Engg College,RRL Trends Sector E Lucknow,Luknow Ring Road
TKA7,North,Uttar Pradesh,Kanpur,Trends,Fitch,G.T Road,RRL Trends Kanpur G.T. Road,Kanpur GT Road
TKD4,North,Uttar Pradesh,Ghazipur,Trends,Fitch,Lanka (Citylife),RRL Trends Ghazipur City Life,Ghazipur Citylife
TKZ1,North,Uttar Pradesh,Amroha,Trends,Fitch,Joya Road,RRL Trends Amroha,Amroha Joya Road
TKZ2,North,Uttar Pradesh,Bhadohi,Trends,Fitch,Station Road,RRL Trends Bhadohi,Bhadohi Station Road
TL90,North,Uttar Pradesh,Kanpur,Trends,Fitch,Kidwai Nagar,Trends Kidwainagar Kanpur,Kanpur Kidwai Nagar
TLG6,North,Uttarakhand,Haldwani,Trends,Fitch,Kaladungi Road,RRL Trends Haldwani,Haldwani Kaladungi Road
TLH0,North,Uttar Pradesh,Khalilabad,Trends,Fitch,Sugar Mill Road,RRL Trends Khalilabad,Khalilabad Sugar Mill Road
TLJ9,North,Uttar Pradesh,Gonda,Trends,Fitch,"Barabanki,Gonda Road",RRL Trends Gonda,Gonda Civil Lines
TX19,North,Uttar Pradesh,Lucknow,Trends,Fitch,Shalimar Mall,RRL Trends LUCKNOW Shalimar Ma,Lucknow Shalimar Mall Alambagh
TX3V,North,Uttarakhand,Dehradun,Trends,Fitch,Trends Dehradun Sahastradh,RRL Trends Dehradun Sahastradh,Dehradun Sehastradhara Road
TWQB,North,Uttar Pradesh,Kanpur,Trends,Fitch,"Near Emerald Garden, Swaroop Nagar",RRL Trends Swaroop Nagar,Kanpur Near Emerald Garden Swaroop Nagar
TWPZ,North,Uttar Pradesh,Lucknow,Trends,Fitch,Lulu Mall,RRL Trends LULU Mall,Lucknow Lulu Mall
TWPU,North,Uttarakhand,Kashipur,Trends,Fitch,Trends Ramnagar Road,RRL Trends Kashipur,Kashipur Ramnagar Road
TWPD,North,Uttar Pradesh,Akbarpur,Trends,Fitch,"Trends Tanda Road, Akbarpur",RRL Trends Akbarpur Tanda Road,Akbarpur Tanda Road Akbarpur
TU80,North,Uttar Pradesh,Jhansi,Trends,Fitch,Medical College Road,RRL Trends Jhansi MC Road,Jhansi MC Road
TU31,North,Uttar Pradesh,Padrauna,Trends,Fitch,P D City Mall,RRL Trends Padrauna,Padrauna P D City Mall
TU30,North,Uttar Pradesh,Lucknow,Trends,Fitch,Jankipuram Extn,RRL Trends Lucknow Janakipuram,Lucknow Jankipuram
TSP9,North,Uttar Pradesh,Varanasi,Trends,Fitch,Trends Lahartara Varanasi,RRL Trends Lahartara Varanasi,Varanasi Lahartara
TSP7,North,Uttarakhand,Dehradun,Trends,Fitch,Jogiwala Chowk,RRL Trends Jogiwala Chowk Dehr,Dehradun Jogiwala
TSP4,North,Uttar Pradesh,Unnao,Trends,Fitch,Moti Nagar,RRL Trends Unnao Moti Nagar,Unnao Moti Nagar
TSP2,North,Uttar Pradesh,Hapur,Trends,Fitch,"Trends Delhi Road, Opp HDFC, Hapur",RRL Trends Hapur,Hapur Delhi Road Opp HDFC
TSO0,North,Uttarakhand,Dehradun,Trends,Fitch,GMS Mall,RRL Trends Dehradun GMS Mall,Dehradun GMS Mall
TSN3,North,Uttar Pradesh,Auraiya,Trends,Fitch,Kanpur Road,RRL Trends Auraiya,Auraiya Kanpur Road
TSN2,North,Uttar Pradesh,Mathura,Trends,Fitch,"Masani Gate, Delhi Bypass",RRL Trends Mathura Masani Road,Mathura Masani Gate Delhi Bypass
TSM8,North,Uttar Pradesh,Chandauli,Trends,Fitch,GT Road,RRL Trends Chandauli,Chandauli GT Road
TSL2,North,Uttar Pradesh,Varanasi,Trends,Fitch,"Orderly Bazar, Opp ICICI Bank",RRL Trends Varanasi Gilat Baza,Varanasi Orderly Bazar Opp ICICI Bank
TQ55,North,Uttar Pradesh,Varanasi,Trends,Fitch,"Shyam Kripa Complex, Durgakund",Trends Varanasi Durgakund,Varanasi Durgakund
TPW4,North,Uttar Pradesh,Khurja,Trends,Fitch,"Adj Vishal Mega Mart, Khurja",RRL Trends Khurja,Khurja Adj Vishal Mega Mart
TP67,North,Uttar Pradesh,Lucknow,Trends,Fitch,"Raebareilly Road, Hero Showroom",Trends Lucknow Raebareilly Roa,Lucknow Raebarely Rd
TP22,North,Uttar Pradesh,Barabanki,Trends,Fitch,"Naka Satrik, Barabanki",RRL Trends Barabanki,Barbanki Faizbad Rd
TOG9,North,Uttar Pradesh,Varanasi,Trends,Fitch,"Azamgarh Marg, Pandeypur",RRL Trends Varanasi,Varanasi Azamgarh Marg Pandeypur
TOG8,North,Uttar Pradesh,Lucknow,Trends,Fitch,"Opp Phoenix Mall, Alambagh",RRL Trends Lucknow Alambagh,Lucknow Opp Phoenix Mall Alambagh
TOA3,North,Uttar Pradesh,Budaun,Trends,Fitch,"R.S. Tower,Station Road",RRL Trends Budaun,Budaun Station Road
TO66,North,Uttar Pradesh,Lucknow,Trends,Fitch,"Mandir Marg, Kapoorthala",Trends Kapoorthala Lucknow,Lucknow Kapoorthala
TO55,North,Uttar Pradesh,Lucknow,Trends,Fitch,"Sitapur Road, Aliganj, Lucknow",RRL Trends Lucknow Aliganj,Luknow Sitapur Road
